objname_from,pgc_from,objname_to,pgc_to,dtheta_arcsec,comment
CGCG 038-080,33156,CGCG 038-080 NED02,-99,27.049,GPair
MCG +10-16-101,34392,MCG +10-16-101 NED02,-99,3.329,GPair
CGCG 039-171,35077,CGCG 039-171 NED01,-99,4.113,GPair
VIII Zw 153,37455,VIII Zw 153b,-99,34.685,GPair
CGCG 335-007,39105,CGCG 335-007 NED02,-99,12.857,GPair
KUG 1212+311,39193,WISEA J121523.51+305033.4,-99,5.828,GPair
ESO 172-IG 002,41139,ESO 172-IG 002 NED01,-99,10.778,GPair
ESO 322-IG 054,42625,WISEA J124159.92-394901.6,42621,26.299,GPair
VIII Zw 210,43222,VIII Zw 210 NOTES01,-99,9.060,GPair
MCG +06-29-018a,44995,MCG +06-29-018a NED01,-99,6.663,GPair
VII Zw 500,45722,VII Zw 500 NOTES01,-99,1.603,GPair
ESO 323-IG 094,45946,ESO 323-IG 094 NED01,-99,14.251,GPair
VIII Zw 271,46222,VIII Zw 271 NED02,-99,5.464,GPair
KUG 1316+355,46385,SDSS J131843.98+351652.5,-99,1.253,GPair
ESO 382-IG 049,46635,WISEA J132122.52-354727.8,-99,7.719,GPair
VIII Zw 304,46756,VIII Zw 304W,-99,5.389,GPair
ESO 509-IG 021,47212,ESO 509-IG 021 NED01,-99,8.912,GPair
KUG 1341+193,48665,KUG 1341+193 NED01,-99,4.496,GPair
ESO 040-IG 016,48983,WISEA J134836.58-773403.4,-99,6.462,GPair
VV 203,49376,VV 203a,-99,1.535,GPair
I Zw 076 NOTES01,49584,WISEA J135639.25+433508.1,-99,15.299,GPair
VV 744,50949,WISEA J141541.41+161206.2,4540080,11.966,GPair
CGCG 047-009,51194,CGCG 047-009 NED02,-99,21.661,GPair
ESO 327-IG 002,52146,WISEA J143526.04-385601.9,-99,3.849,GPair
CGCG 076-015,52649,WISEA J144427.30+121524.1,-99,3.599,GPair
ESO 273-IG 018,53917,WISEA J150616.73-432528.8,-99,5.659,GPair
SBS 1505+607,53934,WISEA J150630.21+603540.6,-99,2.290,GPair
ESO 328-IG 029,54191,WISEA J151109.38-375251.1,-99,11.090,GPair
CGCG 078-027,55586,WISEA J153626.67+121059.0,-99,55.067,GPair
NGC 6076,57409,NGC 6076 NED01,-99,5.492,GPair
KUG 1624+338A,58142,WISEA J162646.92+334635.9,-99,0.886,GPair
ESO 023-IG 005,59229,WISEA J165418.75-822811.1,-99,3.021,GPair
CGCG 054-006,59775,CGCG 054-006 NED02,-99,33.565,GPair
NGC 6351,60063,WISEA J171911.10+360337.1,-99,4.227,GPair
CGCG 339-046,60407,CGCG 339-046 NED02,-99,1.372,GPair
VII Zw 725,60523,WISEA J173448.45+622826.1,-99,1.639,GPair
CGCG 113-007,61125,2MFGC 14125,-99,1.270,GPair
ESO 139-IG 048,61246,WISEA J175946.89-594901.2,-99,7.051,GPair
ESO 229-IG 003,61268,ESO 229-IG 003 NED01,-99,12.019,GPair
CGCG 084-020,61460,2MASX J18085258+0956435,-99,0.314,GPair
ESO 103-IG 004,61467,WISEA J180920.64-623057.4,-99,5.046,GPair
ESO 182-IG 009,61706,WISEA J181813.00-540544.2,-99,1.412,GPair
ESO 230-IG 009,62335,WISEA J184413.97-504657.7,-99,5.567,GPair
ESO 336-IG 015,62389,ESO 336-IG 015 NED01,-99,9.921,GPair
