# Object-level actions based on VI (visual inspections). Note that an object may
# appear more than once.
objname,action,reason,comment
LCRS B114750.8-031249,drop,no source,In 'LCRS B114750.8-031249' group.
SSRS GROUP 70,drop,no source,In 'SSRS GROUP 70' group.
CB-20.07763,drop,no source,In 'CB-20.07763' group.
[PCM2000] 30,drop,no source,In '[PCM2000] 30' group.
SCG 2203-2812,drop,no source,In 'SCG 2203-2812' group.
MLCG 1264,drop,no source,In 'MLCG 1264' group.
PM2GC GR1037,drop,no source,In 'PM2GC GR1037' group.
AKARI J0835230+295315,drop,no source,In 'AKARI J0835230+295315' group.
[SPS2007] 01,drop,no source,In '[SPS2007] 01' group.
HIDEEP J1335-3409,drop,no source,In 'HIDEEP J1335-3409' group.
FLASH J132834.24-312622.6,drop,no source,In 'FLASH J132834.24-312622.6' group.
WINGS J132835.43-312629.9,drop,no source,In 'FLASH J132834.24-312622.6' group.
3C 386:[MLO2002] TRIPLE,drop,no source,In '3C 386:[MLO2002] TRIPLE' group.
PGC 130260,drop,no source,objtype=M2 in HyperLeda.
SUMSS J032127-453041,drop,no source,In 'PGC 130260' M2 group.
GALEXASC J195759.34+044732.0,drop,no source,Galaxy triple.
VI Zw 109,drop,no source,Galaxy triple.
VI Zw 150,drop,no source,Galaxy triple.
2MASS J23074711-1209105,drop,no source,Galaxy triple.
HOLM 511,drop,no source,Galaxy triple.
HOLM 016,drop,no source,Galaxy triple.
[SAB2007] LSS 34,drop,no source,Galaxy triple.
[SAB2007] LSS 37,drop,no source,Galaxy triple.
[ARN85] 0413+122G1,drop,no source,
[ARN85] 0413+122G2,drop,no source,
CFRS 22.0453,drop,no source,
SDSS CE J153.955414-00.341320,drop,no source,
I Zw 176,drop,no source,Galaxy triple.
I Zw 044,drop,no source,Galaxy triple.
I Zw 076,drop,no source,Galaxy triple.
I Zw 190,drop,no source,Galaxy triple.
IC 1094,drop,no source,Galaxy triple.
IC 0186,drop,no source,Galaxy triple.
IC 0275,drop,no source,Galaxy triple.
IC 2722,drop,no source,Galaxy triple.
SDSS J112655.59+004047.1,drop,no source,Galaxy triple.
SDSS J084917.29+531755.8,drop,no source,Galaxy triple.
II Zw 050,drop,no source,Galaxy triple.
II Zw 099,drop,no source,Galaxy triple.
II Zw 184,drop,no source,Galaxy triple.
IV Zw 016,drop,no source,Galaxy triple; in 'IV Zw 016' group.
IV Zw 016 NOTES02,drop,no source,In 'IV Zw 016' group.
IV Zw 075,drop,no source,Galaxy triple; in 'IV Zw 075' group.
IV Zw 075 NOTES01,drop,no source,In 'IV Zw 075' group.
IV Zw 161,drop,no source,Galaxy triple; in 'IV Zw 161' group.
IV Zw 161 NOTES02,drop,no source,In 'IV Zw 161' group.
IV Zw 161 NOTES01,drop,no source,In 'IV Zw 161' group.
III Zw 002,drop,no source,Galaxy triple.
