OBJNAME,REGION
2MASS J08005196+0615260,
WISEA J080052.12+061516.4,
WISEA J080205.02+440024.6,
WISEA J080204.29+440039.3,
2dFGRS S433Z010,
WISEA J052949.47-210232.6,
2MASS J12553053+0404311,
2MASX J12553105+0404347,
WISEA J125529.64+040424.3,
2MASS J10441754+3942034,
2MASX J10441780+3942105,
WISEA J203933.28-020339.8,
WISEA J203934.31-020337.6,
WISEA J005407.31-305923.3,
WISEA J093045.14-021554.7,
WISEA J102433.86+200808.6,
WISEA J043133.95-122755.1,
2dFGRS S369Z006,
WISEA J044930.01+001500.3,
2MASS J16043019+1112475,
WISEA J143700.77+284633.4,
WISEA J222234.36-233104.7,
WISEA J135826.25+372708.8,
WISEA J143913.11+155214.7,
WISEA J035719.12-521500.3,
WISEA J005651.60-315731.6,
2MASS J17044410+2046312,
WISEA J111231.36+280144.8,
WISEA J223627.71-242001.5,
WISEA J141250.79+253305.1,
WISEA J035118.53-200851.9,
WISEA J035117.87-200841.0,
WISEA J135509.78+100124.1,
WISEA J111046.37+103430.6,
WISEA J111059.05+103236.0,
WISEA J111100.30+103230.7,
2MASS J11105394+1031538,
2MASX J13513257-4801247,
LCRS B032320.9-420459,
LCRS B032312.7-420353,
2MASS J12524013+2125003,
WISEA J104742.22+303730.1,
WISEA J021213.91-023012.4,
UGC 12525 NED02,
WISEA J155124.59+432438.9,
WISEA J155124.17+432506.9,
WISEA J093639.38+482806.3,
WISEA J120357.58+202556.9,
APMUKS(BJ) B131852.45-002534.6,
WISEA J132125.45-004136.2,
PGC 094982,
LEDA 094981,
CGCG 395-007 NED01,
VII Zw 097,
WISEA J145824.77+081237.7,
PGC 450025,
WISEA J130806.45-331630.2,
WISEA J000557.46-724638.8,
WISEA J081843.48+175821.2,
WISEA J232012.79+005230.5,
WISEA J113540.68+134038.2,
WISEA J050729.06-061118.6,
WISEA J142328.69-011506.1,
2MASX J12322171-3433474,
2dFGRS S450Z276,
PGC 096062,
2MASS J14362291-0034593,
WISEA J120046.62-000116.7,
PGC 254171,
PGC 652873,
WISEA J144313.53-350806.7,
WISEA J075358.86+280339.3,
DESI J229.3398-29.5708,
DESI J260.6987-77.0939,
DESI J292.3970-77.0775,
DESI J243.9491-80.5961,
DESI J266.1571-75.7969,
DESI J259.7679-77.7881,
DESI J342.4700-03.7518,
DESI J211.7470-86.9721,
DESI J004.7791+19.1717,
DESI J126.9169-04.2180,
DESI J145.4288-16.9073,
DESI J353.2287-43.9060,
DESI J325.6231+24.1510,
DESI J349.1972+25.2168,
DESI J346.1707+22.6744,
DESI J085.4404-26.3547,
